indicator,assessment,weight_percent,evidence
ML-2.1,ЛР1,8,код/отчёт/метрики/защита
ML-2.2,ЛР1,8,код/отчёт/метрики/защита
ML-2.3,ЛР2,10,код/отчёт/метрики/защита
ML-3.1,ЛР3,10,код/отчёт/метрики/защита
ML-3.3,ЛР3,10,код/отчёт/метрики/защита
ML-3.2,ЛР4,12,код/отчёт/метрики/защита
ML-3.3,ЛР4,12,код/отчёт/метрики/защита
DL-1.1,ЛР5,10,код/отчёт/метрики/защита
DL-1.2,ЛР5,10,код/отчёт/метрики/защита
DL-1.3,ЛР6,10,код/отчёт/метрики/защита
DL-1.4,ЛР6,10,код/отчёт/метрики/защита
ML-2.1,Проект,25,код/отчёт/метрики/защита
ML-2.2,Проект,25,код/отчёт/метрики/защита
ML-2.3,Проект,25,код/отчёт/метрики/защита
ML-3.1,Проект,25,код/отчёт/метрики/защита
ML-3.2,Проект,25,код/отчёт/метрики/защита
ML-3.3,Проект,25,код/отчёт/метрики/защита
DL-1.1,Проект,25,код/отчёт/метрики/защита
DL-1.2,Проект,25,код/отчёт/метрики/защита
DL-1.3,Проект,25,код/отчёт/метрики/защита
DL-1.4,Проект,25,код/отчёт/метрики/защита
ML-2.3,Peer-review,5,код/отчёт/метрики/защита
ML-3.3,Peer-review,5,код/отчёт/метрики/защита
ML-2.1,Защита,10,код/отчёт/метрики/защита
ML-3.1,Защита,10,код/отчёт/метрики/защита
ML-3.3,Защита,10,код/отчёт/метрики/защита
DL-1.1,Защита,10,код/отчёт/метрики/защита
